subject,year,grade,scale,url
reading,2013,12,lit,https://nces.ed.gov/nationsreportcard/tdw/analysis/2013/scaling_irt_read2013g12lit.aspx
reading,2013,12,vocab,https://nces.ed.gov/nationsreportcard/tdw/analysis/2013/scaling_irt_readvocab2013g12.aspx
reading,2011,4,info,https://nces.ed.gov/nationsreportcard/tdw/analysis/2011/scaling_irt_read_2011g4info.aspx
reading,2011,4,lit,https://nces.ed.gov/nationsreportcard/tdw/analysis/2011/scaling_irt_read_2011g4lit.aspx
reading,2011,4,vocab,https://nces.ed.gov/nationsreportcard/tdw/analysis/2011/scaling_irt_read_mv_2011g4.aspx
reading,2011,8,info,https://nces.ed.gov/nationsreportcard/tdw/analysis/2011/scaling_irt_read_2011g8info.aspx
reading,2011,8,lit,https://nces.ed.gov/nationsreportcard/tdw/analysis/2011/scaling_irt_read_2011g8lit.aspx
reading,2011,8,vocab,https://nces.ed.gov/nationsreportcard/tdw/analysis/2011/scaling_irt_read_mv_2011g8.aspx
reading,2009,4,info,https://nces.ed.gov/nationsreportcard/tdw/analysis/2009/scaling_irt_read_2009g4info.aspx
reading,2009,4,lit,https://nces.ed.gov/nationsreportcard/tdw/analysis/2009/scaling_irt_read_2009g4lit.aspx
reading,2009,4,vocab,https://nces.ed.gov/nationsreportcard/tdw/analysis/2009/scaling_irt_read_mv_2009g4.aspx
reading,2009,8,info,https://nces.ed.gov/nationsreportcard/tdw/analysis/2009/scaling_irt_read_2009g8info.aspx
reading,2009,8,lit,https://nces.ed.gov/nationsreportcard/tdw/analysis/2009/scaling_irt_read_2009g8lit.aspx
reading,2009,8,vocab,https://nces.ed.gov/nationsreportcard/tdw/analysis/2009/scaling_irt_read_mv_2009g8.aspx
reading,2009,12,info,https://nces.ed.gov/nationsreportcard/tdw/analysis/2009/scaling_irt_read_2009g12info.aspx
reading,2009,12,lit,https://nces.ed.gov/nationsreportcard/tdw/analysis/2009/scaling_irt_read_2009g12lit.aspx
reading,2009,12,vocab,https://nces.ed.gov/nationsreportcard/tdw/analysis/2009/scaling_irt_read_mv_2009g12.aspx
reading,2007,4,info,https://nces.ed.gov/nationsreportcard/tdw/analysis/2007/scaling_irt_read_2007g4info.aspx
reading,2007,4,lit,https://nces.ed.gov/nationsreportcard/tdw/analysis/2007/scaling_irt_read_2007g4lit.aspx
reading,2007,8,info,https://nces.ed.gov/nationsreportcard/tdw/analysis/2007/scaling_irt_read_2007g8info.aspx
reading,2007,8,lit,https://nces.ed.gov/nationsreportcard/tdw/analysis/2007/scaling_irt_read_2007g8lit.aspx
reading,2007,8,task,https://nces.ed.gov/nationsreportcard/tdw/analysis/2007/scaling_irt_read_2007g8task.aspx
reading,2005,4,info,https://nces.ed.gov/nationsreportcard/tdw/analysis/2004_2005/scaling_irt_read_2005g4info.aspx
reading,2005,4,lit,https://nces.ed.gov/nationsreportcard/tdw/analysis/2004_2005/scaling_irt_read_2005g4lit.aspx
reading,2005,8,info,https://nces.ed.gov/nationsreportcard/tdw/analysis/2004_2005/scaling_irt_read_2005g8info.aspx
reading,2005,8,lit,https://nces.ed.gov/nationsreportcard/tdw/analysis/2004_2005/scaling_irt_read_2005g8lit.aspx
reading,2005,8,task,https://nces.ed.gov/nationsreportcard/tdw/analysis/2004_2005/scaling_irt_read_2005g8task.aspx
reading,2005,12,info,https://nces.ed.gov/nationsreportcard/tdw/analysis/2004_2005/scaling_irt_read_2005g12info.aspx
reading,2005,12,lit,https://nces.ed.gov/nationsreportcard/tdw/analysis/2004_2005/scaling_irt_read_2005g12lit.aspx
reading,2005,12,task,https://nces.ed.gov/nationsreportcard/tdw/analysis/2004_2005/scaling_irt_read_2005g12task.aspx
reading,2003,4,info,https://nces.ed.gov/nationsreportcard/tdw/analysis/2002_2003/scaling_irt_read_2003_g4_info.aspx
reading,2003,4,lit,https://nces.ed.gov/nationsreportcard/tdw/analysis/2002_2003/scaling_irt_read_2003_g4_lit.aspx
reading,2003,8,info,https://nces.ed.gov/nationsreportcard/tdw/analysis/2002_2003/scaling_irt_read_2003_g8_info.aspx
reading,2003,8,lit,https://nces.ed.gov/nationsreportcard/tdw/analysis/2002_2003/scaling_irt_read_2003_g8_lit.aspx
reading,2003,8,task,https://nces.ed.gov/nationsreportcard/tdw/analysis/2002_2003/scaling_irt_read_2003_g8_task.aspx
reading,2002,4,info,https://nces.ed.gov/nationsreportcard/tdw/analysis/2002_2003/scaling_irt_read_2002_g4_info.aspx
reading,2002,4,lit,https://nces.ed.gov/nationsreportcard/tdw/analysis/2002_2003/scaling_irt_read_2002_g4_lit.aspx
reading,2002,8,info,https://nces.ed.gov/nationsreportcard/tdw/analysis/2002_2003/scaling_irt_read_2002_g8_info.aspx
reading,2002,8,lit,https://nces.ed.gov/nationsreportcard/tdw/analysis/2002_2003/scaling_irt_read_2002_g8_lit.aspx
reading,2002,8,task,https://nces.ed.gov/nationsreportcard/tdw/analysis/2002_2003/scaling_irt_read_2002_g8_task.aspx
reading,2002,12,info,https://nces.ed.gov/nationsreportcard/tdw/analysis/2002_2003/scaling_irt_read_2002_g12_info.aspx
reading,2002,12,lit,https://nces.ed.gov/nationsreportcard/tdw/analysis/2002_2003/scaling_irt_read_2002_g12_lit.aspx
reading,2002,12,task,https://nces.ed.gov/nationsreportcard/tdw/analysis/2002_2003/scaling_irt_read_2002_g12_task.aspx
reading,2000,4,info,https://nces.ed.gov/nationsreportcard/tdw/analysis/2000_2001/scaling_irt_read_2000_natl_g4_inf_acc.aspx
reading,2000,4,lit,https://nces.ed.gov/nationsreportcard/tdw/analysis/2000_2001/scaling_irt_read_2000_natl_g4_lit_acc.aspx
science,2019,4,earth,https://nces.ed.gov/nationsreportcard/tdw/analysis/2019/scaling_irt_g4sci_earth2019.aspx
science,2019,4,physical,https://nces.ed.gov/nationsreportcard/tdw/analysis/2019/scaling_irt_g4sci_physical2019.aspx
science,2019,4,life,https://nces.ed.gov/nationsreportcard/tdw/analysis/2019/scaling_irt_g4sci_life2019.aspx
science,2019,4,univar,https://nces.ed.gov/nationsreportcard/tdw/analysis/2019/scaling_irt_g4sci_univariate2019.aspx
science,2019,8,earth,https://nces.ed.gov/nationsreportcard/tdw/analysis/2019/scaling_irt_g8sci_earth2019.aspx
science,2019,8,physical,https://nces.ed.gov/nationsreportcard/tdw/analysis/2019/scaling_irt_g8sci_physical2019.aspx
science,2019,8,life,https://nces.ed.gov/nationsreportcard/tdw/analysis/2019/scaling_irt_g8sci_life2019.aspx
science,2019,8,univar,https://nces.ed.gov/nationsreportcard/tdw/analysis/2019/scaling_irt_g8sci_univariate2019.aspx
science,2019,12,earth,https://nces.ed.gov/nationsreportcard/tdw/analysis/2019/scaling_irt_g12sci_earth2019.aspx
science,2019,12,physical,https://nces.ed.gov/nationsreportcard/tdw/analysis/2019/scaling_irt_g12sci_physical2019.aspx
science,2019,12,life,https://nces.ed.gov/nationsreportcard/tdw/analysis/2019/scaling_irt_g12sci_life2019.aspx
science,2019,12,univar,https://nces.ed.gov/nationsreportcard/tdw/analysis/2019/scaling_irt_g12sci_univariate2019.aspx
science,2015,4,earth,https://nces.ed.gov/nationsreportcard/tdw/analysis/2015/scaling_irt_g4sci_earth2015.aspx
science,2015,4,physical,https://nces.ed.gov/nationsreportcard/tdw/analysis/2015/scaling_irt_g4sci_physical2015.aspx
science,2015,4,life,https://nces.ed.gov/nationsreportcard/tdw/analysis/2015/scaling_irt_g4sci_life2015.aspx
science,2015,4,univar,https://nces.ed.gov/nationsreportcard/tdw/analysis/2015/scaling_irt_g4sci_univariate2015.aspx
science,2015,8,earth,https://nces.ed.gov/nationsreportcard/tdw/analysis/2015/scaling_irt_g8sci_earth2015.aspx
science,2015,8,physical,https://nces.ed.gov/nationsreportcard/tdw/analysis/2015/scaling_irt_g8sci_physical2015.aspx
science,2015,8,life,https://nces.ed.gov/nationsreportcard/tdw/analysis/2015/scaling_irt_g8sci_life2015.aspx
science,2015,8,univar,https://nces.ed.gov/nationsreportcard/tdw/analysis/2015/scaling_irt_g8sci_univariate2015.aspx
science,2015,12,earth,https://nces.ed.gov/nationsreportcard/tdw/analysis/2015/scaling_irt_g12sci_earth2015.aspx
science,2015,12,physical,https://nces.ed.gov/nationsreportcard/tdw/analysis/2015/scaling_irt_g12sci_physical2015.aspx
science,2015,12,life,https://nces.ed.gov/nationsreportcard/tdw/analysis/2015/scaling_irt_g12sci_life2015.aspx
science,2015,12,univar,https://nces.ed.gov/nationsreportcard/tdw/analysis/2015/scaling_irt_g12sci_univariate2015.aspx
science,2011,8,earth,https://nces.ed.gov/nationsreportcard/tdw/analysis/2011/scaling_irt_sci_2011g8earth.aspx
science,2011,8,physical,https://nces.ed.gov/nationsreportcard/tdw/analysis/2011/scaling_irt_sci_2011g8physical.aspx
science,2011,8,life,https://nces.ed.gov/nationsreportcard/tdw/analysis/2011/scaling_irt_sci_2011g8life.aspx
science,2011,8,univar,https://nces.ed.gov/nationsreportcard/tdw/analysis/2011/scaling_irt_sci_2011g8univariate.aspx
science,2009,4,earth,https://nces.ed.gov/nationsreportcard/tdw/analysis/2009/scaling_irt_sci_2009g4earth.aspx
science,2009,4,physical,https://nces.ed.gov/nationsreportcard/tdw/analysis/2009/scaling_irt_sci_2009g4physical.aspx
science,2009,4,life,https://nces.ed.gov/nationsreportcard/tdw/analysis/2009/scaling_irt_sci_2009g4life.aspx
science,2009,4,univar,https://nces.ed.gov/nationsreportcard/tdw/analysis/2009/scaling_irt_sci_2009g4univariate.aspx
science,2009,8,earth,https://nces.ed.gov/nationsreportcard/tdw/analysis/2009/scaling_irt_sci_2009g8earth.aspx
science,2009,8,physical,https://nces.ed.gov/nationsreportcard/tdw/analysis/2009/scaling_irt_sci_2009g8physical.aspx
science,2009,8,life,https://nces.ed.gov/nationsreportcard/tdw/analysis/2009/scaling_irt_sci_2009g8life.aspx
science,2009,8,univar,https://nces.ed.gov/nationsreportcard/tdw/analysis/2009/scaling_irt_sci_2009g8univariate.aspx
science,2009,12,earth,https://nces.ed.gov/nationsreportcard/tdw/analysis/2009/scaling_irt_sci_2009g12earth.aspx
science,2009,12,physical,https://nces.ed.gov/nationsreportcard/tdw/analysis/2009/scaling_irt_sci_2009g12physical.aspx
science,2009,12,life,https://nces.ed.gov/nationsreportcard/tdw/analysis/2009/scaling_irt_sci_2009g12life.aspx
science,2009,12,univar,https://nces.ed.gov/nationsreportcard/tdw/analysis/2009/scaling_irt_sci_2009g12univariate.aspx
science,2005,4,earth,https://nces.ed.gov/nationsreportcard/tdw/analysis/2004_2005/scaling_irt_sci_2005g4earth.aspx
science,2005,4,physical,https://nces.ed.gov/nationsreportcard/tdw/analysis/2004_2005/scaling_irt_sci_2005g4physical.aspx
science,2005,4,life,https://nces.ed.gov/nationsreportcard/tdw/analysis/2004_2005/scaling_irt_sci_2005g4life.aspx
science,2005,8,earth,https://nces.ed.gov/nationsreportcard/tdw/analysis/2004_2005/scaling_irt_sci_2005g8earth.aspx
science,2005,8,physical,https://nces.ed.gov/nationsreportcard/tdw/analysis/2004_2005/scaling_irt_sci_2005g8physical.aspx
science,2005,8,life,https://nces.ed.gov/nationsreportcard/tdw/analysis/2004_2005/scaling_irt_sci_2005g8life.aspx
science,2005,12,earth,https://nces.ed.gov/nationsreportcard/tdw/analysis/2004_2005/scaling_irt_sci_2005g12earth.aspx
science,2005,12,physical,https://nces.ed.gov/nationsreportcard/tdw/analysis/2004_2005/scaling_irt_sci_2005g12physical.aspx
science,2005,12,life,https://nces.ed.gov/nationsreportcard/tdw/analysis/2004_2005/scaling_irt_sci_2005g12life.aspx
science,2000,4,earth,https://nces.ed.gov/nationsreportcard/tdw/analysis/2000_2001/scaling_irt_sci_2000natlg4earthacc.aspx
science,2000,4,physical,https://nces.ed.gov/nationsreportcard/tdw/analysis/2000_2001/scaling_irt_sci_2000natlg4physicalacc.aspx
science,2000,4,life,https://nces.ed.gov/nationsreportcard/tdw/analysis/2000_2001/scaling_irt_sci_2000natlg4lifeacc.aspx
science,2000,4,earth,https://nces.ed.gov/nationsreportcard/tdw/analysis/2000_2001/scaling_irt_sci_2000stateg4earthacc.aspx
science,2000,4,physical,https://nces.ed.gov/nationsreportcard/tdw/analysis/2000_2001/scaling_irt_sci_2000stateg4physicalacc.aspx
science,2000,4,life,https://nces.ed.gov/nationsreportcard/tdw/analysis/2000_2001/scaling_irt_sci_2000stateg4lifeacc.aspx
science,2000,8,earth,https://nces.ed.gov/nationsreportcard/tdw/analysis/2000_2001/scaling_irt_sci_2000natlg8earthacc.aspx
science,2000,8,physical,https://nces.ed.gov/nationsreportcard/tdw/analysis/2000_2001/scaling_irt_sci_2000natlg8physicalacc.aspx
science,2000,8,life,https://nces.ed.gov/nationsreportcard/tdw/analysis/2000_2001/scaling_irt_sci_2000natlg8lifeacc.aspx
science,2000,8,earth,https://nces.ed.gov/nationsreportcard/tdw/analysis/2000_2001/scaling_irt_sci_2000stateg8earthacc.aspx
science,2000,8,physical,https://nces.ed.gov/nationsreportcard/tdw/analysis/2000_2001/scaling_irt_sci_2000stateg8physicalacc.aspx
science,2000,8,life,https://nces.ed.gov/nationsreportcard/tdw/analysis/2000_2001/scaling_irt_sci_2000stateg8lifeacc.aspx
science,2000,12,earth,https://nces.ed.gov/nationsreportcard/tdw/analysis/2000_2001/scaling_irt_sci_2000natlg12earthacc.aspx
science,2000,12,physical,https://nces.ed.gov/nationsreportcard/tdw/analysis/2000_2001/scaling_irt_sci_2000natlg12physicalacc.aspx
science,2000,12,life,https://nces.ed.gov/nationsreportcard/tdw/analysis/2000_2001/scaling_irt_sci_2000natlg12lifeacc.aspx
tel,2018,8,univar,https://nces.ed.gov/nationsreportcard/tdw/analysis/2018/scaling_irt_tel_2018g8univar.aspx
tel,2018,8,dessys,https://nces.ed.gov/nationsreportcard/tdw/analysis/2018/scaling_irt_tel_2018g8dessys.aspx
tel,2018,8,infcom,https://nces.ed.gov/nationsreportcard/tdw/analysis/2018/scaling_irt_tel_2018g8infcom.aspx
tel,2018,8,tecsoc,https://nces.ed.gov/nationsreportcard/tdw/analysis/2018/scaling_irt_tel_2018g8tecsoc.aspx
tel,2018,8,comcol,https://nces.ed.gov/nationsreportcard/tdw/analysis/2018/scaling_irt_tel_2018g8comcol.aspx
tel,2018,8,devsol,https://nces.ed.gov/nationsreportcard/tdw/analysis/2018/scaling_irt_tel_2018g8devsol.aspx
tel,2018,8,undtec,https://nces.ed.gov/nationsreportcard/tdw/analysis/2018/scaling_irt_tel_2018g8undtec.aspx
tel,2014,8,univar,https://nces.ed.gov/nationsreportcard/tdw/analysis/2014/scaling_irt_tel_2014g8univar.aspx
tel,2014,8,dessys,https://nces.ed.gov/nationsreportcard/tdw/analysis/2014/scaling_irt_tel_2014g8dessys.aspx
tel,2014,8,infcom,https://nces.ed.gov/nationsreportcard/tdw/analysis/2014/scaling_irt_tel_2014g8infcom.aspx
tel,2014,8,tecsoc,https://nces.ed.gov/nationsreportcard/tdw/analysis/2014/scaling_irt_tel_2014g8tecsoc.aspx
history,2022,8,demo,https://nces.ed.gov/nationsreportcard/tdw/analysis/2022/scaling_irt_hist_2022g8demo.aspx
history,2022,8,culture,https://nces.ed.gov/nationsreportcard/tdw/analysis/2022/scaling_irt_hist_2022g8culture.aspx
history,2022,8,tech,https://nces.ed.gov/nationsreportcard/tdw/analysis/2022/scaling_irt_hist_2022g8tech.aspx
history,2022,8,world,https://nces.ed.gov/nationsreportcard/tdw/analysis/2022/scaling_irt_hist_2022g8world.aspx
history,2018,8,demo,https://nces.ed.gov/nationsreportcard/tdw/analysis/2018/scaling_irt_hist_2018g8demo.aspx
history,2018,8,culture,https://nces.ed.gov/nationsreportcard/tdw/analysis/2018/scaling_irt_hist_2018g8culture.aspx
history,2018,8,tech,https://nces.ed.gov/nationsreportcard/tdw/analysis/2018/scaling_irt_hist_2018g8tech.aspx
history,2018,8,world,https://nces.ed.gov/nationsreportcard/tdw/analysis/2018/scaling_irt_hist_2018g8world.aspx
history,2014,8,demo,https://nces.ed.gov/nationsreportcard/tdw/analysis/2014/scaling_irt_hist_2014g8demo.aspx
history,2014,8,culture,https://nces.ed.gov/nationsreportcard/tdw/analysis/2014/scaling_irt_hist_2014g8culture.aspx
history,2014,8,tech,https://nces.ed.gov/nationsreportcard/tdw/analysis/2014/scaling_irt_hist_2014g8tech.aspx
history,2014,8,world,https://nces.ed.gov/nationsreportcard/tdw/analysis/2014/scaling_irt_hist_2014g8world.aspx
history,2010,4,demo,https://nces.ed.gov/nationsreportcard/tdw/analysis/2010/scaling_irt_hist_2010g4demo.aspx
history,2010,4,culture,https://nces.ed.gov/nationsreportcard/tdw/analysis/2010/scaling_irt_hist_2010g4culture.aspx
history,2010,4,tech,https://nces.ed.gov/nationsreportcard/tdw/analysis/2010/scaling_irt_hist_2010g4tech.aspx
history,2010,4,world,https://nces.ed.gov/nationsreportcard/tdw/analysis/2010/scaling_irt_hist_2010g4world.aspx
history,2010,8,demo,https://nces.ed.gov/nationsreportcard/tdw/analysis/2010/scaling_irt_hist_2010g8demo.aspx
history,2010,8,culture,https://nces.ed.gov/nationsreportcard/tdw/analysis/2010/scaling_irt_hist_2010g8culture.aspx
history,2010,8,tech,https://nces.ed.gov/nationsreportcard/tdw/analysis/2010/scaling_irt_hist_2010g8tech.aspx
history,2010,8,world,https://nces.ed.gov/nationsreportcard/tdw/analysis/2010/scaling_irt_hist_2010g8world.aspx
history,2010,12,demo,https://nces.ed.gov/nationsreportcard/tdw/analysis/2010/scaling_irt_hist_2010g12demo.aspx
history,2010,12,culture,https://nces.ed.gov/nationsreportcard/tdw/analysis/2010/scaling_irt_hist_2010g12culture.aspx
history,2010,12,tech,https://nces.ed.gov/nationsreportcard/tdw/analysis/2010/scaling_irt_hist_2010g12tech.aspx
history,2010,12,world,https://nces.ed.gov/nationsreportcard/tdw/analysis/2010/scaling_irt_hist_2010g12world.aspx
history,2006,4,demo,https://nces.ed.gov/nationsreportcard/tdw/analysis/2006/scaling_irt_hist_2006_natlg4democracy.aspx
history,2006,4,culture,https://nces.ed.gov/nationsreportcard/tdw/analysis/2006/scaling_irt_hist_2006_natlg4cultures.aspx
history,2006,4,tech,https://nces.ed.gov/nationsreportcard/tdw/analysis/2006/scaling_irt_hist_2006_natlg4technology.aspx
history,2006,4,world,https://nces.ed.gov/nationsreportcard/tdw/analysis/2006/scaling_irt_hist_2006_natlg4worldrole.aspx
history,2006,8,demo,https://nces.ed.gov/nationsreportcard/tdw/analysis/2006/scaling_irt_hist_2006_natlg8democracy.aspx
history,2006,8,culture,https://nces.ed.gov/nationsreportcard/tdw/analysis/2006/scaling_irt_hist_2006_natlg8cultures.aspx
history,2006,8,tech,https://nces.ed.gov/nationsreportcard/tdw/analysis/2006/scaling_irt_hist_2006_natlg8technology.aspx
history,2006,8,world,https://nces.ed.gov/nationsreportcard/tdw/analysis/2006/scaling_irt_hist_2006_natlg8worldrole.aspx
history,2006,12,demo,https://nces.ed.gov/nationsreportcard/tdw/analysis/2006/scaling_irt_hist_2006_natlg12democracy.aspx
history,2006,12,culture,https://nces.ed.gov/nationsreportcard/tdw/analysis/2006/scaling_irt_hist_2006_natlg12cultures.aspx
history,2006,12,tech,https://nces.ed.gov/nationsreportcard/tdw/analysis/2006/scaling_irt_hist_2006_natlg12technology.aspx
history,2006,12,world,https://nces.ed.gov/nationsreportcard/tdw/analysis/2006/scaling_irt_hist_2006_natlg12worldrole.aspx
history,2001,4,demo,https://nces.ed.gov/nationsreportcard/tdw/analysis/2000_2001/scaling_irt_hist_2001_natl_g4_democracy_acc.aspx
history,2001,4,culture,https://nces.ed.gov/nationsreportcard/tdw/analysis/2000_2001/scaling_irt_hist_2001_natl_g4_cultures_acc.aspx
history,2001,4,tech,https://nces.ed.gov/nationsreportcard/tdw/analysis/2000_2001/scaling_irt_hist_2001_natl_g4_technology_acc.aspx
history,2001,4,world,https://nces.ed.gov/nationsreportcard/tdw/analysis/2000_2001/scaling_irt_hist_2001_natl_g4_worldrole_acc.aspx
history,2001,8,demo,https://nces.ed.gov/nationsreportcard/tdw/analysis/2000_2001/scaling_irt_hist_2001_natl_g8_democracy_acc.aspx
history,2001,8,culture,https://nces.ed.gov/nationsreportcard/tdw/analysis/2000_2001/scaling_irt_hist_2001_natl_g8_cultures_acc.aspx
history,2001,8,tech,https://nces.ed.gov/nationsreportcard/tdw/analysis/2000_2001/scaling_irt_hist_2001_natl_g8_technology_acc.aspx
history,2001,8,world,https://nces.ed.gov/nationsreportcard/tdw/analysis/2000_2001/scaling_irt_hist_2001_natl_g8_worldrole_acc.aspx
history,2001,12,demo,https://nces.ed.gov/nationsreportcard/tdw/analysis/2000_2001/scaling_irt_hist_2001_natl_g12_democracy_acc.aspx
history,2001,12,culture,https://nces.ed.gov/nationsreportcard/tdw/analysis/2000_2001/scaling_irt_hist_2001_natl_g12_cultures_acc.aspx
history,2001,12,tech,https://nces.ed.gov/nationsreportcard/tdw/analysis/2000_2001/scaling_irt_hist_2001_natl_g12_technology_acc.aspx
history,2001,12,world,https://nces.ed.gov/nationsreportcard/tdw/analysis/2000_2001/scaling_irt_hist_2001_natl_g12_worldrole_acc.aspx
writing,2011,8,,https://nces.ed.gov/nationsreportcard/tdw/analysis/2011/scaling_irt_writ_2011g8.aspx
writing,2011,12,,https://nces.ed.gov/nationsreportcard/tdw/analysis/2011/scaling_irt_writ_2011g12.aspx
writing,2007,8,,https://nces.ed.gov/nationsreportcard/tdw/analysis/2007/scaling_irt_writ_2007g8.aspx
writing,2007,12,,https://nces.ed.gov/nationsreportcard/tdw/analysis/2007/scaling_irt_writ_2007g12.aspx
writing,2002,4,,https://nces.ed.gov/nationsreportcard/tdw/analysis/2002_2003/scaling_irt_writ_2002_g4.aspx
writing,2002,8,,https://nces.ed.gov/nationsreportcard/tdw/analysis/2002_2003/scaling_irt_writ_2002_g8.aspx
writing,2002,12,,https://nces.ed.gov/nationsreportcard/tdw/analysis/2002_2003/scaling_irt_writ_2002_g12.aspx
